Name,Divisions,Latitude,Longitude,Address,Normal_site,Auto_site,Glamping,Caravan,Restroom,Shower_room,Sink,Homepage
삼남매와 뭉치네 캠핑장 ,자동차야영장,37.6312479,128.358277,강원도 평창군 봉평면 원길리 ,18,0,0,0,2,2,2,https://cafe.naver.com/sncamp
솔바다 캠핑장 ,일반야영장,37.2744298,126.4528625,인천광역시 옹진군 영흥서로 527-12 솔밭민박 ,18,0,0,0,2,2,3,http://www.xn--2j1b67oxqet7gjvjxnk.kr/
시냇가 캠핑장,일반야영장,36.7824334,127.8875494,충북 괴산군 칠성면 연풍로 쌍곡길 75,18,0,0,0,2,2,3,https://streamcamping.modoo.at/
운문 사계절 캠핑장,"일반야영장,카라반",35.6948473,128.9721717,경상북도 청도군 운문면 오진리 997,18,0,0,2,2,2,2,http://xn--989a27yx6da138eo5b.kr/
청도군 자전거공원 캠핑장,일반야영장,35.587208,128.7662481,청도군 청도읍 유호리 39-5,18,0,0,0,1,2,1,https://www.gocamping.or.kr/bsite/camp/info/read.do?c_no=2895&viewType=read01
추동캠프 ,일반야영장,37.9915799,127.1556949,경기도 포천시 창수면 추동리 ,18,0,0,0,5,2,4,https://gocamping.or.kr/bsite/camp/info/read.do?c_no=2974
휴가를 부탁해 캠핑장 ,자동차야영장,37.1036128,128.6826743,강원도 영월군 김삿갓면 내리계곡로 1024 ,18,0,0,0,2,2,5,https://vacancebutak.modoo.at/
아트캠핑빌리지,일반야영장,36.2645474,127.1526444,충청남도 논산시 상월면 한천길 15-11 ,19,0,0,0,2,2,1,https://www.sangsangmadang.com/camping/reserve
영덕 칠보산 오토캠핑장 ,일반야영장,36.6357124,129.3938249,경상북도 영덕군 병곡면 백석리 ,19,0,0,0,1,1,1,http://chilbocamp.co.kr/
융프라우오토캠핑장 ,일반야영장,37.5925212,127.5129381,경기도 가평군 설악면 어비산길 201-27 ,19,0,0,0,2,2,5,https://www.gocamping.or.kr/bsite/camp/info/read.do?c_no=2529&viewType=read01
